City,Location,Price,Area,BHK,Gymnasium,SwimmingPool,ClubHouse,24X7Security,PowerBackup,CarParking
Hyderabad,Malkajgiri,7500000,1705,3,0,0,0,0,0,0
Hyderabad,Malkajgiri,5200000,1050,2,0,0,0,0,0,0
Hyderabad,Mehdipatnam,5700000,1225,3,0,0,0,0,1,0
Hyderabad,Venkat Nagar Colony,10800000,1675,3,0,0,0,0,1,0
Hyderabad,Kokapet,13000000,1945,3,1,1,1,1,1,0
Hyderabad,Nizampet,3650000,1000,2,1,0,0,0,1,0
Hyderabad,Hitech City,8625000,1150,2,0,0,0,0,1,0
Hyderabad,Kondakal,7500000,1330,3,0,0,0,0,1,0
Hyderabad,Kondapur,20000000,2250,3,0,0,0,0,0,0
Hyderabad,Tellapur,10000000,2240,3,0,0,0,0,0,0
Hyderabad,Banjara Hills,45000000,4500,4,1,1,1,1,1,1
Hyderabad,Gajularamaram,3300000,800,2,0,0,0,0,0,0
Hyderabad,Chandanagar,5635000,1150,2,0,0,0,0,1,0
Hyderabad,Nanakramguda,12900000,1840,3,1,1,1,0,1,0
Hyderabad,Gopanpally,7800000,1560,3,0,0,0,0,1,0
Hyderabad,Serilingampally,6300000,1300,2,0,0,0,0,1,0
Hyderabad,Somajiguda,28000000,3200,4,1,1,1,0,1,0
Hyderabad,Banjara Hills,30000000,2950,3,1,0,0,0,1,0
Hyderabad,Banjara Hills,30000000,2950,3,0,0,0,0,0,0
Hyderabad,Gachibowli,12500000,1699,4,1,1,1,0,1,0
Hyderabad,Nagole,6583000,1254,2,0,0,1,1,1,1
Hyderabad,Nagole,8977000,1710,3,0,0,1,1,1,1
Hyderabad,Kukatpally,35500000,4067,4,1,1,1,1,1,1
Hyderabad,Uppal Kalan,7500000,1320,2,1,1,1,1,1,0
Hyderabad,Puppalaguda,7000000,1605,3,0,0,0,0,1,0
Hyderabad,Madhapur,14500000,2120,3,0,0,0,0,1,0
Hyderabad,Nallagandla Gachibowli,13500000,1860,3,1,1,1,1,1,1
Hyderabad,Nallagandla Gachibowli,13500000,1860,3,1,1,1,0,1,0
Hyderabad,Krishna Reddy Pet,2700000,1050,2,0,0,0,0,1,0
Hyderabad,Miyapur,8990000,1550,3,0,0,0,0,1,0
Hyderabad,Hitech City,27500000,3090,4,1,1,1,1,1,1
Hyderabad,Gachibowli,66400000,6718,5,1,1,1,1,1,1
Hyderabad,Kondapur,7500000,1195,2,1,1,1,1,1,1
Hyderabad,AS Rao Nagar,5700000,1230,3,0,0,0,0,0,0
Hyderabad,Banjara Hills,33000000,2956,4,0,0,0,0,0,0
Hyderabad,LB Nagar,5500000,1076,2,0,0,0,0,1,0
Hyderabad,Bolarum,3578000,842,2,1,1,1,0,1,0
Hyderabad,Miyapur,7800000,1200,2,0,0,0,0,1,0
Hyderabad,Jubilee Hills,52000000,4500,4,0,0,0,0,0,0
Hyderabad,Jubilee Hills,40000000,3600,4,0,0,0,0,0,0
Hyderabad,Banjara Hills,36700000,3500,3,0,0,0,0,0,0
Hyderabad,Banjara Hills,36700000,3500,3,1,1,1,0,1,0
Hyderabad,Madhapur,8600000,1150,2,0,0,0,0,1,0
Hyderabad,Hitech City,9000000,1150,2,0,0,0,0,0,0
Hyderabad,Hitech City,9000000,1150,2,0,0,0,0,1,0
Hyderabad,Nanakramguda,9877000,1245,2,1,1,1,1,1,1
Hyderabad,Nanakramguda,13000000,1600,3,1,1,1,1,1,1
Hyderabad,Nanakramguda,18800000,2270,3,1,1,1,1,1,1
Hyderabad,Manikonda,6000000,1200,2,1,0,0,0,1,1
Hyderabad,Puppalaguda,7000000,1418,3,0,0,0,0,1,0
Hyderabad,Miyapur,9906000,1905,3,1,1,1,0,1,0
Hyderabad,Gachibowli,5500000,850,2,0,0,0,0,1,0
Hyderabad,Nizampet,8000000,1940,3,0,0,0,0,0,0
Hyderabad,Mehdipatnam,4200000,1050,2,0,0,0,0,1,0
Hyderabad,Mehdipatnam,4200000,1050,2,0,0,0,0,0,0
Hyderabad,Kondapur,14500000,1908,3,1,1,1,0,1,0
Hyderabad,Bachupally,8953000,1905,3,1,1,1,1,1,0
Hyderabad,Bachupally,7872000,1675,3,1,1,1,1,1,0
Hyderabad,Bachupally,7590000,1615,3,1,1,1,1,1,0
Hyderabad,Bachupally,5452000,1160,2,1,1,1,1,1,0
Hyderabad,Bachupally,8459000,1800,3,1,1,1,1,1,0
Hyderabad,Bachupally,5640000,1200,2,1,1,1,1,1,0
Hyderabad,Mallapur,4500000,908,2,0,0,0,0,1,0
Hyderabad,Kukatpally,4830000,1100,2,0,0,0,0,0,0
Hyderabad,Mehdipatnam,4900000,1380,2,0,0,0,0,0,0
Hyderabad,Hitech City,6000000,970,2,0,0,1,0,1,0
Hyderabad,Mallapur,4500000,1160,2,0,0,0,0,1,0
Hyderabad,Masab Tank,4299000,840,2,0,0,0,0,0,0
Hyderabad,Zamistanpur,4750000,1100,2,0,0,0,0,0,0
Hyderabad,Madhura Nagar,4200000,931,2,0,0,0,0,1,1
Hyderabad,Jubilee Hills,12500000,1670,3,0,0,0,0,0,0
Hyderabad,Kukatpally,12000000,2000,3,1,1,1,1,1,1
Hyderabad,Miyapur,7998999,1554,3,0,0,0,0,0,0
Hyderabad,Jubilee Hills,23000000,1900,3,1,1,1,1,1,1
Hyderabad,Jubilee Hills,22900000,1900,3,1,1,1,1,1,1
Hyderabad,Jubilee Hills,23000000,1900,3,0,0,0,0,0,0
Hyderabad,Kukatpally,14500000,1740,3,1,1,1,1,1,1
Hyderabad,Madhapur,20000000,3145,3,0,0,0,1,1,0
Hyderabad,Beeramguda,2800000,963,2,0,0,0,0,0,0
Hyderabad,Ghansi Bazaar,3500000,909,3,0,0,0,0,0,0
Hyderabad,Chintalakunta,3500000,850,2,0,0,0,0,0,0
Hyderabad,Chinthal Basthi,4700000,950,2,0,0,0,0,0,0
Hyderabad,Kukatpally,11399999,1730,3,0,0,0,0,0,0
Hyderabad,Gajularamaram,6931000,1555,3,0,0,0,0,0,0
Hyderabad,Gajularamaram,5256000,1180,2,0,1,0,0,1,0
Hyderabad,Kukatpally,11100000,1675,3,0,0,0,0,1,0
Hyderabad,Nallakunta,5300000,845,2,0,0,0,0,0,0
Hyderabad,Bowenpally,4500000,1100,2,0,0,1,0,1,0
Hyderabad,Nallakunta,14600000,1905,3,0,0,0,0,1,0
Hyderabad,Nallakunta,11200000,1460,3,0,0,0,0,1,0
Hyderabad,Nallakunta,11200000,1460,3,0,0,0,0,0,0
Hyderabad,Malkajgiri,4200000,1175,2,0,0,0,0,0,0
Hyderabad,Kompally,4900000,1360,2,1,1,1,1,1,1
Hyderabad,Kondapur,7554000,1220,2,1,1,1,1,1,1
Hyderabad,Kondapur,11399999,1885,3,1,1,1,1,1,1
Hyderabad,Jubilee Hills,9600000,1295,2,0,0,0,0,0,0
Hyderabad,Jubilee Hills,10200000,1295,2,0,0,0,0,0,0
Hyderabad,Bandlaguda Jagir,4800000,1200,2,0,0,0,0,0,0
Hyderabad,Nanakramguda,16800000,2460,3,1,1,1,1,1,1
Hyderabad,Saroornagar,4000000,1040,2,0,0,1,0,1,0
Hyderabad,Beeramguda,3600000,1107,2,0,0,1,0,1,0
Hyderabad,Begumpet,6000000,1050,2,1,0,0,0,1,0
Hyderabad,Begumpet,6000000,1050,2,1,0,1,0,1,0
Hyderabad,Banjara Hills,33300000,2900,3,1,1,1,0,1,0
Hyderabad,Beeramguda,4000000,850,2,0,0,1,0,1,0
Hyderabad,Beeramguda,3500000,1080,2,0,0,1,0,1,0
Hyderabad,Beeramguda,3500000,1080,2,0,0,0,0,0,0
Hyderabad,Boduppal,2300000,1100,2,0,0,0,0,0,0
Hyderabad,Boduppal,2300000,1100,2,0,0,1,0,1,0
Hyderabad,Somajiguda,12000000,1745,3,0,0,0,0,0,1
Hyderabad,Nagole,2500000,970,2,0,0,0,0,1,0
Hyderabad,Kukatpally,5777000,1090,2,1,1,1,1,1,1
Hyderabad,Kukatpally,7605000,1435,3,1,1,1,0,1,0
Hyderabad,Beeramguda,2600000,684,1,0,0,1,0,1,0
Hyderabad,Beeramguda,4500000,1040,2,0,0,1,0,1,0
Hyderabad,Beeramguda,3000000,850,2,0,0,1,0,1,0
Hyderabad,Beeramguda,3200000,1150,2,0,0,1,0,1,0
Hyderabad,Neknampur,7000000,1605,3,0,0,0,0,1,0
Hyderabad,Mallapur,5500000,1000,2,0,0,1,0,1,0
Hyderabad,Nagole,8502000,1635,3,1,1,1,1,1,1
Hyderabad,Nagole,8242000,1585,3,1,1,1,1,1,1
Hyderabad,Appa Junction Peerancheru,11000000,1730,3,1,1,1,1,1,1
Hyderabad,Appa Junction Peerancheru,10700000,1665,3,1,1,1,1,1,1
Hyderabad,Appa Junction Peerancheru,9240000,1482,2,1,1,1,1,1,1
Hyderabad,Appa Junction Peerancheru,8800000,1385,2,1,1,1,1,1,1
Hyderabad,Ambedkar Nagar,3400000,1000,2,0,0,1,0,1,0
Hyderabad,Gachibowli,9500000,1035,2,1,1,1,1,1,1
Hyderabad,Toli Chowki,4700000,1250,2,0,0,0,0,1,0
Hyderabad,Toli Chowki,4700000,1250,2,0,0,1,0,1,0
Hyderabad,Hafeezpet,5000000,1000,2,0,0,1,0,1,1
Hyderabad,Saroornagar,4788000,1260,2,0,0,1,0,1,0
Hyderabad,Beeramguda,2880000,950,2,0,0,1,0,1,0
Hyderabad,Nanakramguda,8500000,1260,2,1,1,1,1,1,1
Hyderabad,Saroornagar,5500000,1050,2,0,0,1,0,1,0
Hyderabad,Bachupally,4400000,1250,2,1,1,1,1,1,1
Hyderabad,Kondapur,14000000,1908,3,1,1,1,0,1,0
Hyderabad,Narsingi,12000000,1720,3,1,1,1,1,1,1
Hyderabad,Rajendra Nagar,7540000,1327,3,1,1,1,1,1,1
Hyderabad,Rajendra Nagar,6290000,1110,3,1,1,1,1,1,1
Hyderabad,Rajendra Nagar,5290000,941,2,1,1,1,1,1,1
Hyderabad,Boduppal,5580000,1200,2,0,0,1,0,1,0
Hyderabad,Manikonda,4300000,1200,1,0,1,1,0,1,0
Hyderabad,Vanasthalipuram,5560000,1390,3,0,0,1,0,1,0
Hyderabad,Amberpet,2400000,540,1,0,0,0,0,1,0
Hyderabad,Gachibowli,12500000,1717,2,1,1,1,1,1,1
